"Gene"	"Correlation"	"P.value"
"UBN1"	0.382083025559994	1.02407688404859e-07
"LRP10"	0.381842339490369	1.04472644118197e-07
"GNA13"	0.381464597373407	1.07794253396168e-07
"TRIM59"	0.38086384993746	1.13286495526856e-07
"CDSN"	0.380472827151451	1.17004564970228e-07
"SPIN1"	0.380158788764994	1.20075119446921e-07
"ZMPSTE24"	0.379891514805997	1.22749190652232e-07
"CDK8"	0.379747728696592	1.24211308527403e-07
"PRR15"	0.379684311277866	1.24861477611829e-07
"CHM"	0.379267446009527	1.2921724716273e-07
"ADNP"	0.378800320384913	1.34271337910556e-07
"SRRM1"	0.378548754448278	1.37071172806579e-07
"GJB2"	0.378325315013628	1.39604853453314e-07
"GOLGB1"	0.378160787573299	1.41499155490589e-07
"MAGI3"	0.377282814573621	1.52031877191111e-07
"MBNL2"	0.376297361664712	1.64749234647806e-07
"ESCO1"	0.376276508671511	1.65029063384531e-07
"RACGAP1"	0.37624100826596	1.65506495995362e-07
"CD109"	0.375880692084562	1.70427791953887e-07
"TIPRL"	0.375815838062447	1.71328356396264e-07
"SGOL1"	0.375738351613485	1.72410317163323e-07
"DNAJA2"	0.375600934543651	1.74345231432244e-07
"DHX36"	0.375376085327838	1.77556217321221e-07
"CLPX"	0.375359591606965	1.77793976430543e-07
"PIBF1"	0.374777844660447	1.86377900433838e-07
"EHBP1"	0.374242749828993	1.94623078648414e-07
"ZFC3H1"	0.373878479876011	2.00434834723504e-07
"WAPAL"	0.373181850341148	2.12015662424872e-07
"NQO1"	0.37318175036635	2.12017369534122e-07
"AGAP1"	0.373007317038328	2.15016033287992e-07
"EPHA4"	0.372829298736955	2.18118204998927e-07
"TMCC1"	0.37242095736739	2.25396847372132e-07
"DDX3X"	0.37218257476992	2.29752974678275e-07
"ZC3H13"	0.371211196600847	2.4835211703491e-07
"PWWP2A"	0.371178708529894	2.48998443877215e-07
"PPP1R1C"	0.371056457327822	2.51445012302009e-07
"PLK4"	0.370852414010824	2.5557982529668e-07
"TUBGCP4"	0.370286891508922	2.67382964907591e-07
"TBK1"	0.370206729322233	2.69097711554852e-07
"ADM"	0.369705275534693	2.80065690657859e-07
"TOPBP1"	0.369239181431613	2.90643152625706e-07
"ANXA2"	0.369023989551766	2.95654763099269e-07
"LRCH1"	0.369023409964922	2.95668372182488e-07
"B3GNT6"	0.368926000262342	2.97964158111783e-07
"ZNF609"	0.368812130196227	3.00669527153062e-07
"NT5C2"	0.368465474584172	3.09051047694678e-07
"TRIM29"	0.368119270047998	3.17644648253986e-07
"NRBF2"	0.368059803820124	3.1914357327748e-07
"LYSMD3"	0.367534470128069	3.32682707312641e-07
"NR6A1"	0.36726316535198	3.39888480044129e-07
"PROM2"	0.367010607627248	3.46730414188516e-07
"HHLA2"	0.366702365724547	3.55259573912871e-07
"NFXL1"	0.36649202257134	3.61194714628258e-07
"ERN2"	0.365931857535348	3.77467028925437e-07
"HSPH1"	0.365834174486295	3.80375538483084e-07
"ARL13B"	0.365831749058599	3.80448027651697e-07
"TMED2"	0.365754223658779	3.82772018951072e-07
"WWTR1"	0.365577699509967	3.88114498945863e-07
"KIAA1033"	0.365551050969918	3.88927186235925e-07
"NAMPT"	0.3651274271672	4.02066977612763e-07
"GART"	0.364282235473263	4.29562907988019e-07
"TRIM10"	0.363619444295067	4.52374139940495e-07
"DPCR1"	0.363445586756462	4.58546946448804e-07
"ABCA12"	0.363252428446441	4.65499488667383e-07
"TGOLN2"	0.362770423577064	4.83291213999165e-07
"IPO8"	0.361533444727287	5.31975535382461e-07
"TRAK1"	0.361303764648974	5.41516852533176e-07
"FOXM1"	0.361282004622398	5.4242923905973e-07
"ZNF274"	0.360708796957913	5.66999688214372e-07
"SULT1B1"	0.360528362771886	5.74951670644342e-07
