"Gene"	"Correlation"	"P.value"
"C5orf24"	0.0653107030025383	0.677339917655208
"LOC100507331"	0.0653060849387962	0.677361492417695
"NQO1"	0.0652094381693634	0.677813067179781
"LRRC39"	0.0652077307328146	0.677821046051203
"FOLR2"	0.0651800836983345	0.677950245816476
"LOC100506504"	0.0651365073158006	0.67815390491857
"ETFDH"	0.0650820915327423	0.67840825496158
"LINC00551"	0.0650094709878478	0.678747752589927
"LOC100506965"	0.0650076037872609	0.678756482492849
"RPS6KA6"	0.0648762178300382	0.679370868071231
"FCER2"	0.0648643345414459	0.679426446696753
"INSL6"	0.0648478675040959	0.679503466475617
"PAPD4"	0.0647474215651506	0.679973342872783
"DEFB1"	0.0646770421782413	0.680302642169733
"MORF4L1"	0.0646328527526406	0.680509430823359
"BTBD16"	0.0645523926218094	0.6808860111133
"SND1"	0.0644952486258862	0.681153510632561
"CLCC1"	0.0644856776650701	0.681198317495439
"C3orf23"	0.064359961145772	0.68178696525551
"EFNB2"	0.0642902211951343	0.68211359203548
"SIRT5"	0.0642879186644529	0.682124376907104
"KLF6"	0.0642745421871872	0.682187032505335
"FBXO25"	0.0641831437086546	0.682615200634412
"CIB4"	0.0641348142242024	0.682841646196215
"LRRTM2"	0.0641296374436473	0.682865903392037
"ZNF564"	0.063719237956155	0.684789942151725
"CELF2"	0.0636638169384812	0.685049918804937
"COMMD7"	0.0635742317041452	0.685470233690951
"RTEL1-TNFRSF6B"	0.063492745564655	0.68585263076601
"LOC100506748"	0.0634922487568958	0.685854962416591
"F3"	0.0632996825747109	0.686758943299551
"CPT1A"	0.0632697073596613	0.686899697514992
"GBGT1"	0.0632024903457097	0.687215365541196
"FOXL1"	0.063156261508555	0.687432498284819
"TNFRSF13B"	0.0629781786993433	0.688269169295993
"CCDC58"	0.0629744329027504	0.688286771796481
"IFI44"	0.062936785401204	0.688463696507215
"COL4A3BP"	0.0628515532377157	0.688864306322428
"TTC33"	0.0628314734450537	0.688958697975768
"C11orf94"	0.0627836364425383	0.689183590285399
"MID2"	0.0627358875111113	0.689408094928271
"ASTN2"	0.0625487073098301	0.69028842755827
